Date,High,Close,Low,Index
2015/2/4,"4,354.01","4,290.96","4,288.92",619
2015/2/5,"4,363.66","4,261.62","4,261.62",620
2015/2/6,"4,259.06","4,184.68","4,160.42",621
2015/2/9,"4,220.65","4,192.66","4,168.54",622
2015/2/10,"4,258.28","4,257.97","4,186.52",623
2015/2/11,"4,307.68","4,300.68","4,265.13",624
2015/2/12,"4,331.15","4,323.56","4,285.81",625
2015/2/13,"4,405.30","4,376.23","4,343.35",626
2015/2/16,"4,437.58","4,436.61","4,383.46",627
2015/2/17,"4,476.74","4,468.30","4,451.08",628
2015/2/25,"4,478.62","4,436.94","4,421.31",629
2015/2/26,"4,514.12","4,512.46","4,422.45",630
2015/2/27,"4,549.66","4,540.14","4,509.32",631
2015/3/2,"4,608.11","4,607.95","4,547.20",632
2015/3/3,"4,598.50","4,537.47","4,534.21",633
2015/3/4,"4,590.23","4,589.90","4,536.88",634
2015/3/5,"4,586.35","4,575.79","4,546.28",635
2015/3/6,"4,593.33","4,535.46","4,530.54",636
2015/3/9,"4,606.42","4,605.00","4,480.80",637
2015/3/10,"4,649.96","4,624.65","4,593.07",638
2015/3/11,"4,655.94","4,625.73","4,610.88",639
2015/3/12,"4,664.26","4,661.81","4,636.41",640
2015/3/13,"4,711.14","4,710.85","4,673.97",641
2015/3/16,"4,841.61","4,841.61","4,734.42",642
2015/3/17,"4,919.02","4,908.65","4,851.14",643
2015/3/18,"5,012.06","5,012.04","4,909.14",644
2015/3/19,"5,034.69","5,027.45","4,979.34",645
2015/3/20,"5,097.51","5,089.96","5,027.66",646
2015/3/23,"5,209.12","5,208.89","5,123.68",647
2015/3/24,"5,238.99","5,231.42","5,077.38",648
2015/3/25,"5,275.58","5,241.52","5,193.83",649
2015/3/26,"5,278.03","5,212.77","5,166.46",650
2015/3/27,"5,270.22","5,256.35","5,195.74",651
2015/3/30,"5,362.05","5,350.51","5,279.64",652
2015/3/31,"5,408.91","5,335.49","5,321.02",653
2015/4/1,"5,459.50","5,448.17","5,337.01",654
2015/4/2,"5,509.47","5,509.21","5,429.94",655
2015/4/3,"5,590.95","5,590.94","5,465.77",656
2015/4/7,"5,711.90","5,711.52","5,629.41",657
2015/4/8,"5,743.28","5,706.10","5,591.37",658
2015/4/9,"5,721.47","5,660.24","5,526.25",659
2015/4/10,"5,794.29","5,787.21","5,613.88",660
2015/4/13,"5,915.08","5,901.75","5,805.79",661
2015/4/14,"5,966.35","5,915.94","5,854.55",662
2015/4/15,"5,908.62","5,764.91","5,761.52",663
2015/4/16,"5,911.27","5,885.23","5,670.33",664
2015/4/17,"5,993.94","5,958.14","5,915.37",665
2015/4/20,"6,023.32","5,852.96","5,823.12",666
2015/4/21,"6,023.45","6,023.42","5,851.84",667
2015/4/22,"6,188.91","6,188.01","6,059.88",668
2015/4/23,"6,266.53","6,224.56","6,152.63",669
2015/4/24,"6,229.89","6,205.16","6,092.32",670
2015/4/27,"6,325.65","6,300.93","6,222.48",671
2015/4/28,"6,312.67","6,167.86","6,112.33",672
2015/4/29,"6,275.12","6,257.59","6,118.84",673
2015/4/30,"6,333.42","6,258.61","6,258.50",674
2015/5/4,"6,316.50","6,307.57","6,197.55",675
2015/5/5,"6,305.84","6,086.06","6,054.75",676
2015/5/6,"6,218.80","6,028.22","5,978.91",677
2015/5/7,"6,020.87","5,912.67","5,906.36",678
2015/5/8,"6,095.28","6,094.72","5,942.44",679
2015/5/11,"6,324.47","6,324.11","6,104.44",680
2015/5/12,"6,441.02","6,440.47","6,312.80",681
2015/5/13,"6,509.21","6,450.72","6,375.74",682
2015/5/14,"6,489.57","6,453.70","6,399.50",683
2015/5/15,"6,448.34","6,384.32","6,316.47",684
2015/5/18,"6,472.34","6,435.07","6,342.71",685
2015/5/19,"6,629.01","6,623.79","6,453.78",686
2015/5/20,"6,825.42","6,715.71","6,659.26",687
2015/5/21,"6,904.41","6,903.76","6,736.54",688
2015/5/22,"7,034.45","7,026.53","6,888.31",689
2015/5/25,"7,203.36","7,202.85","6,965.41",690
2015/5/26,"7,410.27","7,409.93","7,196.54",691
2015/5/27,"7,481.77","7,451.34","7,294.83",692
2015/5/28,"7,528.69","6,993.60","6,990.27",693
2015/5/29,"7,168.10","7,047.31","6,708.68",694
2015/6/1,"7,402.93","7,402.48","7,086.05",695
2015/6/2,"7,624.80","7,624.02","7,408.80",696
2015/6/3,"7,691.43","7,643.01","7,468.33",697
2015/6/4,"7,679.39","7,655.22","7,189.76",698
2015/6/5,"7,823.48","7,748.37","7,576.57",699
2015/6/8,"7,778.89","7,755.74","7,610.08",700
2015/6/9,"7,796.61","7,731.53","7,629.38",701
2015/6/10,"7,897.11","7,813.59","7,600.20",702
2015/6/11,"7,892.24","7,891.57","7,767.81",703
