Date,Value1,Value2,Index
2014-07-10,-0.129,"2,876.90",478
2014-07-11,0.5551,"2,892.87",479
2014-07-14,1.2074,"2,927.80",480
2014-07-15,-0.0912,"2,925.13",481
2014-07-16,-0.6177,"2,907.06",482
2014-07-17,-0.5691,"2,890.52",483
2014-07-18,0.2244,"2,897.00",484
2014-07-21,-0.0858,"2,894.52",485
2014-07-22,1.2711,"2,931.31",486
2014-07-23,-0.4008,"2,919.56",487
2014-07-24,0.647,"2,938.45",488
2014-07-25,0.9761,"2,967.13",489
2014-07-28,2.297,"3,035.29",490
2014-07-29,0.7163,"3,057.03",491
2014-07-30,0.0633,"3,058.97",492
2014-07-31,0.9836,"3,089.05",493
2014-08-01,-0.9842,"3,058.65",494
2014-08-04,1.7185,"3,111.22",495
2014-08-05,0.248,"3,118.93",496
2014-08-06,0.1182,"3,122.62",497
2014-08-07,-1.1617,"3,086.34",498
2014-08-08,0.4686,"3,100.81",499
2014-08-11,1.4823,"3,146.77",500
2014-08-12,0.1042,"3,150.05",501
2014-08-13,0.045,"3,151.46",502
2014-08-14,-0.7074,"3,129.17",503
2014-08-15,1.0741,"3,162.78",504
2014-08-18,1.0778,"3,196.87",505
2014-08-19,0.2095,"3,203.57",506
2014-08-20,-0.1973,"3,197.24",507
2014-08-21,-0.1332,"3,192.98",508
2014-08-22,0.6113,"3,212.50",509
2014-08-25,-0.819,"3,186.19",510
2014-08-26,-1.3473,"3,143.27",511
2014-08-27,0.315,"3,153.17",512
2014-08-28,-0.7909,"3,128.23",513
2014-08-29,1.1249,"3,163.42",514
2014-09-01,1.3005,"3,204.56",515
2014-09-02,1.4175,"3,249.98",516
2014-09-03,0.8412,"3,277.32",517
2014-09-04,0.8372,"3,304.76",518
2014-09-05,0.6668,"3,326.79",519
2014-09-09,0.2851,"3,336.28",520
2014-09-10,0.0345,"3,337.43",521
2014-09-11,-0.2022,"3,330.68",522
2014-09-12,0.9301,"3,361.66",523
2014-09-15,0.544,"3,379.95",524
